0	5.18322	2.21569	7.39891
0.1	5.15757	2.18383	7.34141
0.2	4.97681	2.00295	6.97976
0.3	5.03337	2.06012	7.09348
0.4	5.1778	2.20467	7.38247
0.5	5.04791	2.08099	7.12891
0.6	5.2275	2.25871	7.48622
0.7	5.26692	2.29077	7.5577
0.8	5.16845	2.19503	7.36347
0.9	5.11045	2.13641	7.24686
1	5.13533	2.16706	7.30239
1.1	5.14806	2.17645	7.32451
1.2	5.3039	2.3282	7.63209
1.3	5.17812	2.20819	7.38631
1.4	5.11124	2.14233	7.25357
1.5	5.28793	2.31831	7.60624
1.6	5.05011	2.07444	7.12454
1.7	5.27676	2.30319	7.57995
1.8	5.10443	2.13268	7.23711
1.9	5.23076	2.25508	7.48585
2	5.20346	2.23365	7.43711
2.1	5.1966	2.22529	7.42189
2.2	5.14104	2.17095	7.31199
2.3	5.28028	2.31138	7.59166
2.4	5.33957	2.37084	7.71041
2.5	5.27532	2.29991	7.57523
2.6	5.05997	2.09019	7.15016
2.7	5.18328	2.21274	7.39602
2.8	5.18174	2.21134	7.39309
2.9	5.129	2.1589	7.2879
3	5.16168	2.18642	7.3481
3.1	5.25492	2.27846	7.53338
3.2	5.06639	2.09281	7.1592
3.3	5.04543	2.07248	7.11791
3.4	5.31103	2.33276	7.64379
3.5	5.24181	2.26689	7.5087
3.6	5.16009	2.18724	7.34733
3.7	5.15616	2.18439	7.34054
3.8	5.21756	2.24882	7.46638
3.9	5.12168	2.14309	7.26477
4	5.13629	2.16812	7.30441
4.1	5.19985	2.23699	7.43684
4.2	5.12282	2.153	7.27581
4.3	5.07153	2.10383	7.17536
4.4	5.02589	2.05788	7.08377
4.5	5.14078	2.16796	7.30874
4.6	5.13436	2.15974	7.29409
4.7	5.14465	2.17334	7.31799
4.8	5.09598	2.12664	7.22263
4.9	5.17524	2.20466	7.37991
5	5.18171	2.21084	7.39255
5.1	5.15232	2.18132	7.33364
5.2	5.09567	2.12632	7.22199
5.3	5.19011	2.22047	7.41058
5.4	5.1335	2.1596	7.2931
5.5	5.14624	2.17388	7.32012
5.6	5.15912	2.18841	7.34754
5.7	5.05156	2.08178	7.13333
5.8	5.13459	2.16462	7.29922
5.9	5.10845	2.13157	7.24002
6	5.26334	2.28339	7.54673
6.1	5.02821	2.05055	7.07876
6.2	5.00943	2.03526	7.0447
6.3	5.08434	2.10804	7.19239
6.4	5.10997	2.13276	7.24272
6.5	5.0763	2.09835	7.17465
6.6	5.07704	2.10649	7.18353
6.7	5.21769	2.24501	7.4627
6.8	5.19048	2.21704	7.40752
6.9	5.04693	2.07004	7.11696
7	5.0514	2.08087	7.13227
7.1	5.17536	2.20239	7.37776
7.2	5.25628	2.28283	7.53911
7.3	5.26977	2.29361	7.56339
7.4	5.23816	2.26517	7.50333
7.5	5.17435	2.2003	7.37464
7.6	5.23459	2.26176	7.49636
7.7	5.15879	2.18218	7.34097
7.8	5.19661	2.22196	7.41857
7.9	5.26301	2.2876	7.55061
8	5.08203	2.10604	7.18807
8.1	5.21045	2.23276	7.44321
8.2	5.17072	2.195	7.36572
8.3	5.09427	2.1249	7.21916
8.4	5.23946	2.26661	7.50608
8.5	5.08835	2.1152	7.20355
8.6	5.06127	2.08601	7.14729
8.7	5.20537	2.23283	7.43821
8.8	5.13753	2.16619	7.30372
8.9	5.23784	2.26648	7.50433
9	5.3355	2.36504	7.70054
9.1	5.24248	2.26916	7.51164
9.2	5.12481	2.15603	7.28084
9.3	5.0503	2.07907	7.12938
9.4	5.31938	2.3427	7.66208
9.5	4.95098	1.97933	6.9303
9.6	5.21283	2.23451	7.44735
9.7	5.08681	2.10698	7.1938
9.8	5.17086	2.1974	7.36827
9.9	5.18011	2.19951	7.37962
10	5.21645	2.2383	7.45475
10.1	5.21522	2.24369	7.45892
10.2	5.19699	2.22865	7.42565
10.3	5.14644	2.17365	7.32009
10.4	5.08698	2.11801	7.20498
10.5	5.05516	2.09147	7.14663
10.6	5.21556	2.25182	7.46737
10.7	5.12527	2.15023	7.27551
10.8	5.07045	2.09921	7.16966
10.9	5.10604	2.1377	7.24374
11	5.19935	2.22133	7.42068
11.1	5.29639	2.32257	7.61897
11.2	5.18534	2.20717	7.3925
11.3	5.29025	2.31102	7.60127
11.4	5.15214	2.1756	7.32774
11.5	5.21257	2.23983	7.4524
11.6	5.11783	2.14677	7.2646
11.7	5.15194	2.1801	7.33204
11.8	5.18203	2.21367	7.39569
11.9	5.15101	2.17679	7.3278
12	5.15842	2.18915	7.34757
12.1	5.18137	2.2115	7.39287
12.2	5.00493	2.03434	7.03926
12.3	5.0741	2.10893	7.18303
12.4	5.13167	2.15894	7.29062
12.5	5.16659	2.19067	7.35726
12.6	5.11879	2.14411	7.2629
12.7	5.23082	2.25309	7.48391
12.8	5.25978	2.28703	7.54681
12.9	5.19455	2.21499	7.40953
13	5.11794	2.1369	7.25484
13.1	5.19678	2.21571	7.41249
13.2	5.22117	2.2507	7.47187
13.3	5.09425	2.12361	7.21786
13.4	5.18084	2.21021	7.39105
13.5	5.15909	2.18754	7.34664
13.6	5.14031	2.16677	7.30708
13.7	5.20721	2.23688	7.4441
13.8	5.26694	2.29084	7.55779
13.9	5.10499	2.13074	7.23573
14	5.00889	2.03448	7.04337
14.1	5.22378	2.2497	7.47348
14.2	5.1418	2.17221	7.31401
14.3	5.17668	2.20121	7.3779
14.4	5.18835	2.21212	7.40047
14.5	5.17424	2.20088	7.37512
14.6	5.02746	2.05428	7.08174
14.7	5.14398	2.16865	7.31262
14.8	5.17529	2.20208	7.37736
