0.19341 0.12333
0.32235 0.13009
0.45129 0.13352
0.58023 0.13038
0.70918 0.13685
0.83812 0.14276
0.96706 0.37955
1.096 1.0055
1.2249 1.0036
1.3539 0.99918
1.4828 1.0008
1.6118 1
1.7407 0.99632
1.8696 0.9962
1.9986 0.9957
2.1275 0.99415
2.2565 0.99876
2.3854 0.99842
2.5144 1.0013
2.6433 0.99563
2.7722 0.99967
2.9012 0.99658
3.0301 0.99746
3.1591 0.99683
3.288 0.99523
3.4169 0.99582
3.5459 0.99718
3.6748 0.99737
3.8038 0.9967
3.9327 0.99824
4.0616 0.99772
4.1906 0.99769
4.3195 0.99635
4.4485 0.9979
4.5774 0.99839
4.7064 0.99757
4.8353 0.99789
4.9642 0.99816
5.0932 0.99725
5.2221 0.99751
5.3511 0.99696
5.48 0.99693
5.6089 0.99694
5.7379 0.99791
5.8668 0.99718
5.9958 0.99741
6.1247 0.99681
6.2536 0.99696
6.3826 0.99763
6.5115 0.9964
6.6405 0.99729
6.7694 0.99685
6.8983 0.99738
7.0273 0.99723
7.1562 0.99667
7.2852 0.99591
7.4141 0.99744
7.5431 0.99759
7.672 0.99712
7.8009 0.99717
7.9299 0.99711
8.0588 0.99706
8.1878 0.99717
8.3167 0.99791
8.4456 0.99721
8.5746 0.99697
8.7035 0.99764
8.8325 0.99743
8.9614 0.99742
9.0903 0.99766
9.2193 0.99667
9.3482 0.99726
9.4772 0.99722
9.6061 0.99695
9.7351 0.99757
9.864 0.99712
9.9929 0.99755
10.122 0.9972
10.251 0.99688
10.38 0.99744
10.509 0.99727
10.638 0.99768
10.767 0.99746
10.896 0.99778
11.024 0.99681
11.153 0.99709
11.282 0.9974
11.411 0.99737
11.54 0.99737
11.669 0.99717
11.798 0.99682
11.927 0.99725
12.056 0.99798
12.185 0.99723
12.314 0.99693
12.443 0.99712
12.572 0.99765
12.701 0.99728
12.83 0.99732
