0     0.00508293      0.0036584     0.00425899
0.02     0.00504106     0.00351055     0.00389021
0.04     0.00491999     0.00311037     0.00298409
0.06      0.0047314     0.00255915     0.00196147
0.08     0.00449069     0.00196683     0.00114538
0.1     0.00421364      0.0014147    0.000634075
0.12     0.00391454    0.000945405    0.000377099
0.14     0.00360534    0.000572134    0.000288149
0.16     0.00329534    0.000292666    0.000296111
0.18     0.00299106    9.87694e-05    0.000349855
0.2     0.00269671   -2.08108e-05    0.000414953
0.22     0.00241501   -8.02258e-05    0.000467977
0.24     0.00214759   -9.58311e-05    0.000488094
0.26     0.00189499   -8.44569e-05    0.000456629
0.28     0.00165681    -6.0449e-05      0.0003671
0.3     0.00143221   -3.29621e-05    0.000230928
0.32     0.00122044   -5.75728e-06    7.15168e-05
0.34     0.00102105    2.10315e-05   -8.31902e-05
0.36     0.00083365    4.87422e-05   -0.000204075
0.38    0.000657768    7.82931e-05   -0.000266473
0.4    0.000492881    0.000108785   -0.000258238
0.42    0.000338559    0.000136781   -0.000184974
0.44     0.00019453    0.000157136   -7.04125e-05
0.46    6.08609e-05    0.000165521    4.69347e-05
0.48   -6.19159e-05    0.000161358    0.000125748
0.5   -0.000172811    0.000148492    0.000145365
0.52   -0.000270568     0.00013251     0.00012214
0.54   -0.000353984    0.000116538    9.67135e-05
0.56   -0.000422224    9.86334e-05    0.000101739
0.58   -0.000474973    7.32747e-05    0.000139463
0.6   -0.000512403    3.59763e-05    0.000187218
0.62    -0.00053506   -1.27309e-05    0.000220677
0.64   -0.000543939   -6.71825e-05    0.000229671
0.66   -0.000540768   -0.000119708    0.000218129
0.68   -0.000527827   -0.000163957    0.000198402
0.7   -0.000507232   -0.000196393    0.000184691
0.72   -0.000480455    -0.00021575    0.000183934
0.74    -0.00044839   -0.000221914    0.000187158
0.76   -0.000411746   -0.000215291    0.000171539
0.78   -0.000371386   -0.000196573    0.000118469
0.8   -0.000328269   -0.000166289    3.11449e-05
0.82    -0.00028317   -0.000124349   -6.90052e-05
0.84   -0.000236787   -7.05203e-05   -0.000158232
0.86   -0.000189913   -5.88502e-06   -0.000217264
0.88   -0.000143271    6.57615e-05   -0.000231199
0.9   -9.76168e-05    0.000137275   -0.000198457
0.92   -5.42218e-05    0.000199403   -0.000137999
