0.01	0.02527	0.0274915	0.0203073
0.02	0.0247317	0.0269023	0.0199218
0.03	0.0241302	0.0263207	0.0195181
0.04	0.0234877	0.025757	0.0191046
0.05	0.0228402	0.0252462	0.018727
0.06	0.0222192	0.0247867	0.0183866
0.07	0.0216236	0.0243523	0.0180375
0.08	0.0210497	0.0239195	0.0176504
0.09	0.0204916	0.0234729	0.0172274
0.1	0.0199584	0.0230172	0.0167832
0.11	0.0194597	0.022559	0.0163389
0.12	0.018968	0.0220981	0.0158995
0.13	0.0184745	0.0216448	0.0154347
0.14	0.0180256	0.0212046	0.0149252
0.15	0.0176474	0.0207778	0.0143711
0.16	0.0173263	0.0203566	0.0138079
0.17	0.0170564	0.0199438	0.0132887
0.18	0.0168227	0.0195523	0.0128228
0.19	0.0165956	0.0191774	0.0123962
0.2	0.0163608	0.0188187	0.0120037
0.21	0.0161364	0.0184987	0.0116584
0.22	0.0159408	0.0182259	0.0113631
0.23	0.0157638	0.017998	0.0111007
0.24	0.015574	0.0177996	0.0108641
0.25	0.01536	0.0175884	0.0106327
0.26	0.0151253	0.0173362	0.0103997
0.27	0.0148539	0.0170614	0.0101628
0.28	0.0145214	0.0167906	0.00992394
0.29	0.0141547	0.0165321	0.0096921
0.3	0.0138065	0.0163069	0.00945385
0.31	0.013498	0.0161329	0.00919333
0.32	0.0132166	0.0159672	0.00891956
0.33	0.0129421	0.0157593	0.00867338
0.34	0.0126672	0.0155068	0.00850295
0.35	0.0123777	0.0152317	0.0084046
0.36	0.012042	0.0149399	0.00834454
0.37	0.0116681	0.0146375	0.00829038
0.38	0.0113051	0.0143471	0.00822578
0.39	0.0109674	0.0140856	0.00814976
0.4	0.0106318	0.0138481	0.00805936
0.41	0.0102915	0.013629	0.00795291
0.42	0.00995454	0.0134315	0.00784029
0.43	0.00962023	0.0132488	0.00773693
0.44	0.00929068	0.0130567	0.00763749
0.45	0.00897787	0.0128489	0.00751764
0.46	0.00869267	0.0126268	0.0073531
0.47	0.00845517	0.0123806	0.00714479
0.48	0.00827053	0.0121006	0.00691715
0.49	0.0081152	0.0117869	0.0066848
0.5	0.00796542	0.0114773	0.00644216
0.51	0.00780379	0.0112148	0.00618402
0.52	0.00763276	0.0109971	0.00593748
0.53	0.00747463	0.0107937	0.0057121
0.54	0.00734076	0.0105781	0.00549318
0.55	0.00722644	0.0103757	0.00526267
0.56	0.00712364	0.0102117	0.00502029
0.57	0.00701024	0.0100921	0.00478321
0.58	0.00687915	0.0100093	0.00457034
0.59	0.00675386	0.00993419	0.00440011
0.6	0.00662904	0.00986137	0.00427174
0.61	0.00646704	0.00979291	0.00417326
0.62	0.00626144	0.00971463	0.00407654
0.63	0.00603665	0.00961963	0.00395689
0.64	0.00581265	0.00951909	0.00380639
0.65	0.00561891	0.00943067	0.00362952
0.66	0.00548102	0.00937251	0.00342699
0.67	0.00538413	0.00935039	0.00320687
0.68	0.00530244	0.00935534	0.00298755
0.69	0.00520842	0.00938798	0.00277423
0.7	0.00508682	0.00943463	0.00257026
0.71	0.00493894	0.00945217	0.00238937
0.72	0.00477767	0.00942401	0.00223505
0.73	0.00461995	0.0093644	0.00210195
0.74	0.00447397	0.00928992	0.00199936
0.75	0.00435388	0.00921169	0.00194064
0.76	0.0042833	0.0091374	0.0019142
0.77	0.00425867	0.00907576	0.00188273
0.78	0.00425408	0.00902931	0.00180693
0.79	0.00425004	0.00898537	0.00168666
0.8	0.00423499	0.00892451	0.00155824
0.81	0.00421319	0.00882292	0.00145157
0.82	0.0042068	0.00867497	0.00136972
0.83	0.0042216	0.00850645	0.00129286
0.84	0.00424889	0.00833893	0.00120035
0.85	0.00428348	0.00818763	0.00108712
0.86	0.00430961	0.00805368	0.000949922
0.87	0.00431672	0.00792092	0.000798958
0.88	0.0042984	0.00778515	0.000639086
0.89	0.00425811	0.00763639	0.000466079
0.9	0.00421713	0.00746736	0.000290224
0.91	0.00417775	0.00730613	0.000128383
0.92	0.00413402	0.00717652	-2.22525e-05
0.93	0.00408546	0.00708881	-0.000173306
0.94	0.00403893	0.00703555	-0.000332151
0.95	0.00400426	0.00698111	-0.000493777
0.96	0.0039722	0.00690944	-0.000651665
0.97	0.00393243	0.0068294	-0.000811458
0.98	0.0038796	0.006739	-0.00097388
0.99	0.00380859	0.00663365	-0.00112819
