0       -2.87397	2.40786	-0.466109
0.01       -2.87804	2.41193	-0.466114
0.02       -2.85254	2.38643	-0.466108
0.03       -2.81046	2.34437	-0.466096
0.04       -2.77736	2.31128	-0.466083
0.05       -2.77749	2.3114	-0.466084
0.06       -2.80926	2.34315	-0.466109
0.07        -2.8386	2.37248	-0.466121
0.08       -2.84235	2.37624	-0.466118
0.09       -2.82093	2.35482	-0.466113
0.1       -2.78774	2.32166	-0.466077
0.11       -2.78854	2.32247	-0.46607
0.12       -2.82806	2.36195	-0.466109
0.13       -2.85291	2.3868	-0.466113
0.14        -2.8446	2.3785	-0.466104
0.15       -2.81446	2.34836	-0.466095
0.16        -2.7779	2.31181	-0.46609
0.17       -2.74385	2.27776	-0.466086
0.18       -2.72139	2.25532	-0.466076
0.19       -2.72397	2.25789	-0.466078
0.2       -2.74767	2.28157	-0.466094
0.21       -2.76954	2.30344	-0.466102
0.22       -2.77401	2.30791	-0.466099
0.23       -2.76497	2.29888	-0.466091
0.24       -2.75502	2.28893	-0.466087
0.25       -2.75096	2.28487	-0.466088
0.26       -2.75197	2.28588	-0.466091
0.27       -2.75712	2.29103	-0.46609
0.28       -2.76768	2.30158	-0.466097
0.29       -2.77364	2.30753	-0.46611
0.3       -2.76038	2.29428	-0.466107
0.31       -2.73651	2.27042	-0.466091
0.32       -2.72436	2.25827	-0.466094
0.33       -2.72007	2.25396	-0.466111
0.34       -2.70601	2.23991	-0.4661
0.35       -2.69427	2.22819	-0.466083
0.36       -2.70712	2.24104	-0.466082
0.37       -2.74062	2.27452	-0.466099
0.38       -2.76885	2.30274	-0.466109
0.39       -2.77849	2.31239	-0.466105
0.4       -2.77708	2.31099	-0.466096
0.41       -2.77632	2.31023	-0.466089
0.42       -2.78642	2.32033	-0.466087
0.43       -2.80964	2.34355	-0.466088
0.44       -2.84206	2.37597	-0.466091
0.45        -2.8772	2.4111	-0.466097
0.46       -2.90218	2.43609	-0.466093
0.47       -2.91865	2.45256	-0.466084
0.48       -2.93404	2.46795	-0.466091
0.49       -2.94139	2.47529	-0.466104
0.5       -2.92313	2.45701	-0.466116
0.51       -2.87074	2.40463	-0.466108
0.52       -2.80466	2.33859	-0.466078
0.53       -2.76976	2.30369	-0.466071
0.54       -2.77627	2.31017	-0.466098
0.55       -2.78837	2.32226	-0.466106
0.56       -2.78543	2.31933	-0.466101
0.57       -2.77095	2.30486	-0.466094
0.58       -2.75287	2.28677	-0.466097
0.59       -2.72897	2.26287	-0.466098
0.6       -2.70447	2.23839	-0.466082
0.61       -2.70049	2.2344	-0.466089
0.62       -2.71417	2.24808	-0.46609
0.63        -2.7465	2.28042	-0.466077
0.64        -2.8001	2.33399	-0.466108
0.65        -2.8319	2.36579	-0.46611
0.66       -2.82963	2.36354	-0.46609
0.67       -2.81944	2.35337	-0.466076
0.68       -2.82014	2.35406	-0.466085
0.69        -2.8215	2.3554	-0.466099
0.7        -2.8082	2.34211	-0.466096
0.71       -2.78232	2.31624	-0.466085
0.72       -2.76025	2.29418	-0.466078
0.73       -2.75666	2.29059	-0.466076
0.74       -2.77543	2.30934	-0.466085
0.75       -2.80575	2.33966	-0.466097
0.76       -2.82875	2.36265	-0.466104
0.77       -2.83417	2.36807	-0.466101
0.78       -2.82631	2.36022	-0.46609
0.79        -2.8253	2.35921	-0.466081
0.8        -2.8443	2.3782	-0.466098
0.81       -2.86317	2.39706	-0.466114
0.82       -2.86185	2.39574	-0.466107
0.83       -2.84717	2.38107	-0.466097
0.84       -2.83192	2.36582	-0.466103
0.85       -2.80989	2.34377	-0.466115
0.86       -2.76398	2.29787	-0.466115
0.87       -2.69714	2.23105	-0.466092
0.88       -2.64473	2.17866	-0.466067
0.89       -2.64233	2.17626	-0.466073
0.9       -2.68518	2.21909	-0.46609
0.91       -2.74409	2.27799	-0.466101
0.92       -2.79681	2.3307	-0.466107
0.93       -2.82825	2.36214	-0.466113
0.94       -2.82859	2.36248	-0.46611
0.95       -2.80199	2.33589	-0.466099
0.96       -2.76656	2.30047	-0.466087
0.97       -2.73907	2.27298	-0.46609
0.98       -2.71958	2.25348	-0.466101
0.99       -2.69744	2.23134	-0.466105
