-1.575      0.0294003
-1.525      0.0504005
-1.475      0.0696007
-1.425       0.106801
-1.375       0.153802
-1.325       0.205602
-1.275       0.274403
-1.225       0.354004
-1.175       0.428604
-1.125       0.493605
-1.075       0.551206
-1.025       0.581606
-0.975       0.625606
-0.925       0.647806
-0.875       0.637006
-0.825       0.613206
-0.775       0.581406
-0.725       0.533405
-0.675       0.467205
-0.625       0.408004
-0.575       0.369004
-0.525       0.312003
-0.475       0.266403
-0.425       0.215402
-0.375       0.201402
-0.325       0.158002
-0.275       0.140801
-0.225       0.121401
-0.175       0.114201
-0.125       0.104201
-0.075       0.105201
-0.025       0.102801
0.025      0.0926009
0.075      0.0916009
0.125       0.096801
0.175       0.115601
0.225       0.129001
0.275       0.142601
0.325       0.162602
0.375       0.179802
0.425       0.223602
0.475       0.257603
0.525       0.299203
0.575       0.326003
0.625       0.415004
0.675       0.473405
0.725       0.512205
0.775       0.573406
0.825       0.610806
0.875       0.638006
0.925       0.642406
0.975       0.643606
1.025       0.594406
1.075       0.526205
1.125       0.477005
1.175       0.406604
1.225       0.344803
1.275       0.275603
1.325       0.206802
1.375       0.157002
1.425       0.114201
1.475      0.0772008
1.525      0.0514005
1.575      0.0286003
